"帮派等级"	"第一轮帮战（格式为A,B,C,DA=获胜玩家奖励B=获胜帮派奖励C=失败玩家奖励D=失败帮派奖励）"	"第二轮帮战（格式为A,B,C,DA=获胜玩家奖励B=获胜帮派奖励C=失败玩家奖励D=失败帮派奖励）"	"第三轮帮战（格式为A,B,C,DA=获胜玩家奖励B=获胜帮派奖励C=失败玩家奖励D=失败帮派奖励）"	"第四轮帮战（格式为A,B,C,DA=获胜玩家奖励B=获胜帮派奖励C=失败玩家奖励D=失败帮派奖励）"	"积分奖励第1名（每一轮积分总排名第1的玩家获得）"	"积分奖励第2名"	"积分奖励第3名"	"积分奖励第4名"	"积分奖励第5名"	"积分不为0奖励"	"战场奖励展示"	"冠军奖励"	
"guildLv"	"turn1"	"turn2"	"turn3"	"turn4"	"score1"	"score2"	"score3"	"score4"	"score5"	"joinReward"	"show_item"	"championReward"	
"int"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int"	"int[]"	"int"	
"cs"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"c"	"s"	
"1"	"201,0,202,0"	"203,0,204,0"	"205,0,206,0"	"0,0,0,0"	"211,211,211,0"	"212,212,212,0"	"213,213,213,0"	"0,0,0,0"	"0,0,0,0"	"0"	"100011,1"	"207"	
"2"	"201,0,202,0"	"203,0,204,0"	"205,0,206,0"	"0,0,0,0"	"211,211,211,0"	"212,212,212,0"	"213,213,213,0"	"0,0,0,0"	"0,0,0,0"	"0"	""	"207"	
"3"	"201,0,202,0"	"203,0,204,0"	"205,0,206,0"	"0,0,0,0"	"211,211,211,0"	"212,212,212,0"	"213,213,213,0"	"0,0,0,0"	"0,0,0,0"	"0"	""	"207"	
"4"	"201,0,202,0"	"203,0,204,0"	"205,0,206,0"	"0,0,0,0"	"211,211,211,0"	"212,212,212,0"	"213,213,213,0"	"0,0,0,0"	"0,0,0,0"	"0"	""	"207"	
"5"	"201,0,202,0"	"203,0,204,0"	"205,0,206,0"	"0,0,0,0"	"211,211,211,0"	"212,212,212,0"	"213,213,213,0"	"0,0,0,0"	"0,0,0,0"	"0"	""	"207"	
"6"	"201,0,202,0"	"203,0,204,0"	"205,0,206,0"	"0,0,0,0"	"211,211,211,0"	"212,212,212,0"	"213,213,213,0"	"0,0,0,0"	"0,0,0,0"	"0"	""	"207"	
"7"	"201,0,202,0"	"203,0,204,0"	"205,0,206,0"	"0,0,0,0"	"211,211,211,0"	"212,212,212,0"	"213,213,213,0"	"0,0,0,0"	"0,0,0,0"	"0"	""	"207"	
"8"	"201,0,202,0"	"203,0,204,0"	"205,0,206,0"	"0,0,0,0"	"211,211,211,0"	"212,212,212,0"	"213,213,213,0"	"0,0,0,0"	"0,0,0,0"	"0"	""	"207"	
"9"	"201,0,202,0"	"203,0,204,0"	"205,0,206,0"	"0,0,0,0"	"211,211,211,0"	"212,212,212,0"	"213,213,213,0"	"0,0,0,0"	"0,0,0,0"	"0"	""	"207"	
"10"	"201,0,202,0"	"203,0,204,0"	"205,0,206,0"	"0,0,0,0"	"211,211,211,0"	"212,212,212,0"	"213,213,213,0"	"0,0,0,0"	"0,0,0,0"	"0"	""	"207"	
