"ID"	"场景ID"	"可能得到的物品"	"首次奖励"	"首次奖励数量"	"基础奖励"	"基础奖励数量"	"怪物名称（可能显示多个）"	"特征技能（可能显示多个）"	"攻略"	
"id"	"scene"	"items"	"reward_first"	"num_first"	"reward_basics"	"num_basics"	"monster_name"	"skill"	"guide"	
"int"	"int"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int"	
"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"cs"	"c"	"c"	"c"	
"1"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"42011"	"70000400"	"4012"	
"2"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"42021"	"70000100"	"4009"	
"3"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"42031"	"70000200"	"4010"	
"4"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"42041"	"70000400"	"4012"	
"5"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"5,20,200000"	"100102,100101,100001"	"1,5,1000"	"42051"	"70000200"	"4010"	
"6"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"42061"	"70000300"	"4011"	
"7"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"42071"	"70000200"	"4010"	
"8"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"42081"	"70000200"	"4010"	
"9"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"42091"	"70000100"	"4009"	
"10"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"5,20,400000"	"100102,100101,100001"	"1,5,1000"	"42101"	"70000400"	"4012"	
"11"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"42111"	"70000400"	"4012"	
"12"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"42121"	"70000300"	"4011"	
"13"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"42131"	"70000400"	"4012"	
"14"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"42141"	"70000400"	"4012"	
"15"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"5,20,600000"	"100102,100101,100001"	"1,5,1000"	"42151"	"70000100"	"4009"	
"16"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"42161"	"70000300"	"4011"	
"17"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"42171"	"70000300"	"4011"	
"18"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"42181"	"70000400"	"4012"	
"19"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"42191"	"70000100"	"4009"	
"20"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"10,20,800000"	"100102,100101,100001"	"1,5,1000"	"42201"	"70000100"	"4009"	
"21"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42211"	"70000300"	"4011"	
"22"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42221"	"70000400"	"4012"	
"23"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42231"	"70000300"	"4011"	
"24"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42241"	"70000100"	"4009"	
"25"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"15,20,1000000"	"100102,100101,100001"	"1,10,1000"	"42251"	"70000400"	"4012"	
"26"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42261"	"70000200"	"4010"	
"27"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42271"	"70000400"	"4012"	
"28"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42281"	"70000400"	"4012"	
"29"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42291"	"70000300"	"4011"	
"30"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"15,25,1200000"	"100102,100101,100001"	"1,10,1000"	"42301"	"70000400"	"4012"	
"31"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42311"	"70000200"	"4010"	
"32"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42321"	"70000100"	"4009"	
"33"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42331"	"70000400"	"4012"	
"34"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42341"	"70000300"	"4011"	
"35"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"15,25,1400000"	"100102,100101,100001"	"1,10,1000"	"42351"	"70000100"	"4009"	
"36"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42361"	"70000100"	"4009"	
"37"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42371"	"70000100"	"4009"	
"38"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42381"	"70000300"	"4011"	
"39"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42391"	"70000100"	"4009"	
"40"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"15,30,1600000"	"100102,100101,100001"	"1,10,1000"	"42401"	"70000100"	"4009"	
"41"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42411"	"70000400"	"4012"	
"42"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42421"	"70000300"	"4011"	
"43"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42431"	"70000200"	"4010"	
"44"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42441"	"70000300"	"4011"	
"45"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"15,30,1800000"	"100102,100101,100001"	"1,10,1000"	"42451"	"70000300"	"4011"	
"46"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42461"	"70000400"	"4012"	
"47"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42471"	"70000100"	"4009"	
"48"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42481"	"70000100"	"4009"	
"49"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42491"	"70000100"	"4009"	
"50"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"15,40,2000000"	"100102,100101,100001"	"1,10,1000"	"42501"	"70000400"	"4012"	
"51"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42511"	"70000200"	"4010"	
"52"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42521"	"70000200"	"4010"	
"53"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42531"	"70000400"	"4012"	
"54"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42541"	"70000200"	"4010"	
"55"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"15,40,2200000"	"100102,100101,100001"	"1,15,1000"	"42551"	"70000300"	"4011"	
"56"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42561"	"70000100"	"4009"	
"57"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42571"	"70000200"	"4010"	
"58"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42581"	"70000300"	"4011"	
"59"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42591"	"70000100"	"4009"	
"60"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"20,45,2400000"	"100102,100101,100001"	"1,15,1000"	"42601"	"70000200"	"4010"	
"61"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42611"	"70000100"	"4009"	
"62"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42621"	"70000300"	"4011"	
"63"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42631"	"70000200"	"4010"	
"64"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42641"	"70000100"	"4009"	
"65"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"20,50,2600000"	"100102,100101,100001"	"1,15,1000"	"42651"	"70000100"	"4009"	
"66"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42661"	"70000100"	"4009"	
"67"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42671"	"70000200"	"4010"	
"68"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42681"	"70000100"	"4009"	
"69"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42691"	"70000100"	"4009"	
"70"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"20,60,2800000"	"100102,100101,100001"	"1,15,1000"	"42701"	"70000200"	"4010"	
"71"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42711"	"70000200"	"4010"	
"72"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42721"	"70000200"	"4010"	
"73"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42731"	"70000300"	"4011"	
"74"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42741"	"70000100"	"4009"	
"75"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"20,70,3000000"	"100102,100101,100001"	"1,15,1000"	"42751"	"70000200"	"4010"	
"76"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42761"	"70000200"	"4010"	
"77"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42771"	"70000400"	"4012"	
"78"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42781"	"70000400"	"4012"	
"79"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,15,1000"	"42791"	"70000300"	"4011"	
"80"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"25,80,3200000"	"100102,100101,100001"	"1,15,1000"	"42801"	"70000100"	"4009"	
"81"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"42811"	"70000300"	"4011"	
"82"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"42821"	"70000200"	"4010"	
"83"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"42831"	"70000400"	"4012"	
