"索引"	"轮数"	"品级1：免费奖券抽2：金单抽3：金10抽"	"物品随机列表箱子id"	"奖券价格"	"银币价格"	"金币价格"	"免费次数"	"开始日期"	"截至日期"	
"index"	"round"	"rank"	"item"	"item_cost"	"silver_cost"	"gold_cost"	"free_count"	"start_time"	"ended_time"	
"int"	"int"	"int"	"int"	"int[2]"	"int"	"int"	"int"	"string"	"string"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"0"	"1"	"810105"	"410314,1"	""	""	"1"	"2015-03-29-00:00:00"	"2015-03-30-23:59:59"	
"2"	"0"	"2"	"810106"	""	""	"10"	""	"2015-03-29-00:00:00"	"2015-03-30-23:59:59"	
"3"	"0"	"3"	"810107"	""	""	"100"	""	"2015-03-29-00:00:00"	"2015-03-30-23:59:59"	
"4"	"1"	"1"	"810105"	"410314,1"	""	""	"1"	"2015-03-29-00:00:00"	"2015-03-30-23:59:59"	
"5"	"1"	"2"	"810106"	""	""	"10"	""	"2015-03-29-00:00:00"	"2015-03-30-23:59:59"	
"6"	"1"	"3"	"810107"	""	""	"100"	""	"2015-03-29-00:00:00"	"2015-03-30-23:59:59"	
"7"	"2"	"1"	"810105"	"410314,1"	""	""	"1"	"2015-02-22-00:00:00"	"2015-02-24-23:59:59"	
"8"	"2"	"2"	"810106"	""	""	"10"	""	"2015-02-22-00:00:00"	"2015-02-24-23:59:59"	
"9"	"2"	"3"	"810107"	""	""	"100"	""	"2015-02-22-00:00:00"	"2015-02-24-23:59:59"	
"10"	"3"	"1"	"810105"	"410314,1"	""	""	"1"	"2015-02-06-00:00:00"	"2015-02-09-23:59:59"	
"11"	"3"	"2"	"810106"	""	""	"10"	""	"2015-02-06-00:00:00"	"2015-02-09-23:59:59"	
"12"	"3"	"3"	"810107"	""	""	"100"	""	"2015-02-06-00:00:00"	"2015-02-09-23:59:59"	
"13"	"4"	"1"	"810105"	"410314,1"	""	""	"1"	"2025-03-10-00:00:00"	"2025-03-16-23:59:59"	
"14"	"4"	"2"	"810106"	""	""	"10"	""	"2025-03-10-00:00:00"	"2025-03-16-23:59:59"	
"15"	"4"	"3"	"810107"	""	""	"100"	""	"2025-03-10-00:00:00"	"2025-03-16-23:59:59"	
"16"	"5"	"1"	"810108"	"410314,1"	""	""	"1"	"2015-04-23-00:00:00"	"2015-04-25-23:59:59"	
"17"	"5"	"2"	"810109"	""	""	"10"	""	"2015-04-23-00:00:00"	"2015-04-25-23:59:59"	
"18"	"5"	"3"	"810110"	""	""	"100"	""	"2015-04-23-00:00:00"	"2015-04-25-23:59:59"	
