"id，1000开始为怪物随机技能；40000和70000开始为龙的触发性技能；80000开始为装备魂链占用"	"效果名称"	"效果图标"	"描述"	"触发时机0=施法时1=攻击结算时2=受击结算时3=攻击结算前4=攻击结算后5=受击结算前6=受击结算后--begin以下作为攻击者触发7=击中目标时8=目标格档时9=目标闪避时10=暴击时--end--begin以下作为受击者触发11=被击中时12=格档时13=闪避时14=被暴击时---end15=击杀目标时16=被击杀时17=计算击退时(仅用于击退)18=每秒"	"触发的效果类型"	"条件判断脚本名称"	"触发的效果类型索引(不填,程序用)"	"效果参数1"	"效果参数2"	"效果参数3"	"效果参数4"	"效果参数5"	"效果参数6"	"效果参数1"	"效果参数2"	"效果参数3"	"效果参数4"	"效果参数5"	"效果参数6"	"条件:内置cd(毫秒)0=无cd"	"条件:触发几率(毫秒)1=100%"	"条件:目标生命值0=值1=百分比(1=100%)负数=无条件"	"条件:目标生命值"	"效果参数1等级修正"	"效果参数2等级修正"	"效果参数3等级修正"	"效果参数4等级修正"	"效果参数5等级修正"	"效果参数6等级修正"	"效果参数1等级修正"	"效果参数2等级修正"	"效果参数3等级修正"	"效果参数4等级修正"	"效果参数5等级修正"	"效果参数6等级修正"	"条件:触发几率(毫秒)1=100%等级修正"	"同技能允许触发次数(小等于0表示不限)"	"战斗力"	"在触发器所有者身上执行的表现效果。可以调用任意数量的动作、特效等资源。"	"在触发器涉及其他角色（非所有者）身上执行的表现效果。可以调用任意数量的动作、特效等资源。"	"特殊的表现txt的使用方式0.不使用特殊表现1.基于宠物播放2.基于坐骑播放"	"在触发器涉及其他角色（非所有者）身上执行的表现效果。可以调用任意数量的动作、特效等资源。"	
"id"	"name"	"icon"	"desc"	"timing"	"effect_name"	"condition_script"	"effect_index"	"nparam1"	"nparam2"	"nparam3"	"nparam4"	"nparam5"	"nparam6"	"fparam1"	"fparam2"	"fparam3"	"fparam4"	"fparam5"	"fparam6"	"cond_cooldown"	"cond_chance"	"cond_target_hp_type"	"cond_target_hp_value"	"nparam1mod"	"nparam2mod"	"nparam3mod"	"nparam4mod"	"nparam5mod"	"nparam6mod"	"fparam1mod"	"fparam2mod"	"fparam3mod"	"fparam4mod"	"fparam5mod"	"fparam6mod"	"cond_chance_mod"	"cond_once_limit"	"fight_point"	"selfPerformance"	"otherPerformanceID"	"specialPerformanceType"	"specialPerformanceID"	
"int"	"string"	"string[]"	"string"	"int"	"string"	"string"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"float"	"float"	"float"	"float"	"float"	"float"	"int"	"float"	"int"	"float"	"string"	"string"	"string"	"string"	"string"	"string"	"string"	"string"	"string"	"string"	"string"	"string"	"string"	"int"	"int"	"string"	"string"	"int"	"string"	
"cs"	"cl"	"c"	"cl"	"cs"	"cs"	"s"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"s"	"cs"	"c"	"c"	"c"	"c"	
"1"	""	""	"施法时产生1级火球"	"0"	"castmagic_on_targetposition"	""	""	"200"	"1"	""	""	""	""	""	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2"	""	""	"被击中时产生1级冰霜新星"	"11"	"castmagic_on_selfposition"	""	""	"5060"	"1"	""	""	""	""	""	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3"	""	""	"被击杀时产生1级冰霜新星"	"16"	"castmagic_on_selfposition"	""	""	"5060"	"1"	""	""	""	""	""	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4"	""	""	"击中敌人时产生1级冰霜新星"	"7"	"castmagic_on_targetposition"	""	""	"5060"	"1"	""	""	""	""	""	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5"	""	""	"击杀敌人时产生1级冰霜新星"	"15"	"castmagic_on_targetposition"	""	""	"5060"	"1"	""	""	""	""	""	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6"	""	""	"击中目标时给自己力量加1000"	"7"	"castaura_on_self"	""	""	"300"	"1"	""	""	""	""	""	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7"	""	""	"暴击时让目标防御降低1000点"	"10"	"castaura_on_target"	""	""	"301"	"1"	""	""	""	""	""	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
