"阶段"	"突破等级"	"消耗物品"	"祝福值上限"	"失败祝福值增加"	"成功祝福值区间"	"成功祝福值区间概率"	"加成属性_1"	"加成属性_2"	"加成属性_3"	"加成属性_4"	"加成属性_5"	"图标"	"模型"	"名称"	"品质。0=白色，1=蓝色，2=紫色,3=金色，4=橙色"	"描述"	
"step"	"breakup_level"	"cost_item"	"luck_limit"	"failed_luck"	"succed_luck"	"succed_luck_rate"	"attr_1"	"attr_2"	"attr_3"	"attr_4"	"attr_5"	"icon"	"ModelName"	"name"	"color"	"description"	
"int"	"int"	"int[2]"	"int"	"int[]"	"int[]"	"float[]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"string[]"	"int"	"string"	"int"	"string"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"c"	"cl"	"cs"	"cl"	
"1"	"10"	"820002,2"	"50"	"3,7"	"10,25"	"0,0.4,1"	"16,0,300"	"14,0,0"	"17,0,0"	"63,0,0"	"62,0,0"	"pic_chibang,yijietupo"	"3001073"	"暗·羽翼"	"2"	"突破条件：翅膀等级达到10级"	
"2"	"20"	"820002,3"	"100"	"3,7"	"50,75"	"0,0.2,1"	"16,0,500"	"14,0,500"	"17,0,0"	"63,0,0"	"62,0,0"	"pic_chibang,erjietupo"	"3001066"	"白·炽芒"	"2"	"突破条件：\n翅膀等级达到[green]20[white]级\n激活[green]暗·羽翼[white]"	
"3"	"30"	"820002,4"	"200"	"3,7"	"100,125,175"	"0,0.2,0.3,1"	"16,0,1000"	"14,0,1000"	"17,0,0"	"63,0,0"	"62,0,0"	"pic_chibang,sanjietupo"	"3001067"	"蓝·鬼魅"	"3"	"突破条件：\n翅膀等级达到[green]30[white]级\n激活[green]白·炽芒[white]"	
"4"	"40"	"820002,5"	"400"	"3,7"	"300,350,380"	"0,0.2,0.3,1"	"16,0,2000"	"14,0,2000"	"17,0,0.02"	"63,0,0"	"62,0,0"	"pic_chibang,sijietupo"	"3001069"	"粉·红莲"	"3"	"突破条件：\n翅膀等级达到[green]40[white]级\n激活[green]蓝·鬼魅[white]"	
"5"	"50"	"820002,6"	"600"	"3,7"	"400,500,550"	"0,0.2,0.3,1"	"16,0,3000"	"14,0,3000"	"17,0,0.02"	"63,0,0.02"	"62,0,0"	"pic_chibang,wujietupo"	"3001070"	"银·血影"	"4"	"突破条件：\n翅膀等级达到[green]50[white]级\n激活[green]粉·红莲[white]"	
"6"	"60"	"820002,10"	"800"	"3,7"	"600,700,750"	"0,0.2,0.3,1"	"16,0,5000"	"14,0,5000"	"17,0,0.03"	"63,0,0.03"	"62,0,0.03"	"pic_chibang,liujietupo"	"3001071"	"圣·天使"	"4"	"突破条件：\n翅膀等级达到[green]60[white]级\n激活[green]银·血影[white]"	
"7"	"70"	"820002,10"	"1000"	"3,7"	"999"	"0,1"	"16,0,6000"	"14,0,6000"	"17,0,0.05"	"63,0,0.05"	"62,0,0.05"	"pic_chibang,qijietupo"	"3001075"	"傲·云翳"	"4"	"突破条件：\n翅膀等级达到[green]70[white]级\n激活[green]圣·天使[white]"	
