"道具ID"	"道具"	"道具原始价值"	"价格"	"道具限购数量"	"获得积分"	"展示特效"	""	""	""	""	""	""	""	""	
"id"	"item"	"prices"	"real_price"	"limit_item"	"point_buy"	"item_effect"	""	""	""	""	""	""	""	""	
"int"	"int[]"	"int"	"int"	"int"	"int"	"int"	""	""	""	""	""	""	""	""	
"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"c"	""	""	""	""	""	""	""	""	
"1"	"300202,1"	"5000"	"1500"	"1"	"150"	"1154"	""	""	""	""	""	""	""	""	
"2"	"561002,10"	"1000"	"300"	"5"	"30"	"1153"	""	""	""	""	""	""	""	""	
"3"	"521003,10"	"600"	"180"	"30"	"18"	"1153"	""	""	""	""	""	""	""	""	
"4"	"521001,10"	"100"	"30"	"40"	"3"	"1152"	""	""	""	""	""	""	""	""	
"5"	"410115,5"	"100"	"30"	"40"	"3"	"1152"	""	""	""	""	""	""	""	""	
"6"	"810116,5"	"25"	"7"	"50"	"1"	"1151"	""	""	""	""	""	""	""	""	
"7"	"410111,10"	"2000"	"600"	"1"	"60"	"1154"	""	""	""	""	""	""	""	""	
"8"	"530956,1"	"6250"	"1000"	"5"	"100"	"1153"	""	""	""	""	""	""	""	""	
"9"	"521010,10"	"600"	"180"	"30"	"18"	"1153"	""	""	""	""	""	""	""	""	
"10"	"521006,10"	"100"	"30"	"40"	"3"	"1152"	""	""	""	""	""	""	""	""	
"11"	"410103,2"	"20"	"6"	"40"	"1"	"1152"	""	""	""	""	""	""	""	""	
"12"	"600019,1"	"100"	"30"	"20"	"3"	"1151"	""	""	""	""	""	""	""	""	
"13"	"400213,1"	"1000"	"300"	"1"	"30"	"1154"	""	""	""	""	""	""	""	""	
"14"	"300201,1"	"2000"	"600"	"5"	"60"	"1153"	""	""	""	""	""	""	""	""	
"15"	"521004,10"	"600"	"180"	"30"	"18"	"1153"	""	""	""	""	""	""	""	""	
"16"	"521008,10"	"100"	"30"	"40"	"3"	"1152"	""	""	""	""	""	""	""	""	
"17"	"410158,2"	"40"	"12"	"40"	"1"	"1152"	""	""	""	""	""	""	""	""	
"18"	"400100,10"	"10"	"3"	"50"	"1"	"1151"	""	""	""	""	""	""	""	""	
"19"	"530959,1"	"6250"	"1250"	"1"	"125"	"1154"	""	""	""	""	""	""	""	""	
"20"	"410159,5"	"250"	"75"	"5"	"8"	"1153"	""	""	""	""	""	""	""	""	
"21"	"521005,10"	"600"	"180"	"30"	"18"	"1153"	""	""	""	""	""	""	""	""	
"22"	"410115,5"	"100"	"30"	"40"	"3"	"1152"	""	""	""	""	""	""	""	""	
"23"	"460005,1"	"50"	"15"	"40"	"2"	"1152"	""	""	""	""	""	""	""	""	
"24"	"561000,5"	"70"	"21"	"50"	"2"	"1151"	""	""	""	""	""	""	""	""	
"25"	"530787,1"	"4500"	"1350"	"1"	"135"	"1154"	""	""	""	""	""	""	""	""	
"26"	"530956,1"	"6250"	"1000"	"5"	"100"	"1153"	""	""	""	""	""	""	""	""	
"27"	"521009,10"	"600"	"180"	"30"	"18"	"1153"	""	""	""	""	""	""	""	""	
"28"	"530717,1"	"250"	"75"	"40"	"8"	"1152"	""	""	""	""	""	""	""	""	
"29"	"521001,10"	"100"	"30"	"40"	"3"	"1152"	""	""	""	""	""	""	""	""	
"30"	"600019,1"	"100"	"30"	"20"	"3"	"1151"	""	""	""	""	""	""	""	""	
"31"	"300202,1"	"5000"	"1500"	"1"	"150"	"1154"	""	""	""	""	""	""	""	""	
"32"	"561002,10"	"1000"	"300"	"5"	"30"	"1153"	""	""	""	""	""	""	""	""	
"33"	"410116,5"	"500"	"150"	"20"	"15"	"1153"	""	""	""	""	""	""	""	""	
"34"	"600003,5"	"150"	"50"	"20"	"5"	"1152"	""	""	""	""	""	""	""	""	
"35"	"521006,10"	"100"	"30"	"40"	"3"	"1152"	""	""	""	""	""	""	""	""	
"36"	"460004,1"	"21"	"7"	"50"	"1"	"1151"	""	""	""	""	""	""	""	""	
"37"	"410111,10"	"2000"	"600"	"1"	"60"	"1154"	""	""	""	""	""	""	""	""	
"38"	"530956,1"	"6250"	"1000"	"5"	"100"	"1153"	""	""	""	""	""	""	""	""	
"39"	"530815,1"	"1250"	"200"	"30"	"20"	"1153"	""	""	""	""	""	""	""	""	
"40"	"561001,3"	"150"	"45"	"40"	"5"	"1152"	""	""	""	""	""	""	""	""	
"41"	"521008,10"	"100"	"30"	"40"	"3"	"1152"	""	""	""	""	""	""	""	""	
"42"	"810116,5"	"25"	"7"	"50"	"1"	"1151"	""	""	""	""	""	""	""	""	
"43"	"400213,1"	"1000"	"300"	"1"	"30"	"1154"	""	""	""	""	""	""	""	""	
"44"	"300201,1"	"2000"	"600"	"5"	"60"	"1153"	""	""	""	""	""	""	""	""	
"45"	"410116,5"	"500"	"150"	"20"	"15"	"1153"	""	""	""	""	""	""	""	""	
"46"	"410103,2"	"20"	"6"	"40"	"1"	"1152"	""	""	""	""	""	""	""	""	
"47"	"521006,10"	"100"	"30"	"40"	"3"	"1152"	""	""	""	""	""	""	""	""	
"48"	"600019,1"	"100"	"30"	"20"	"3"	"1151"	""	""	""	""	""	""	""	""	
"49"	"530959,1"	"6250"	"1250"	"1"	"125"	"1154"	""	""	""	""	""	""	""	""	
"50"	"410159,5"	"250"	"75"	"5"	"8"	"1153"	""	""	""	""	""	""	""	""	
"51"	"561001,10"	"500"	"150"	"30"	"15"	"1153"	""	""	""	""	""	""	""	""	
"52"	"400200,5"	"500"	"150"	"40"	"15"	"1152"	""	""	""	""	""	""	""	""	
"53"	"561001,10"	"500"	"150"	"40"	"15"	"1152"	""	""	""	""	""	""	""	""	
"54"	"400100,10"	"10"	"3"	"50"	"1"	"1151"	""	""	""	""	""	""	""	""	
"55"	"521041,10"	"4000"	"1000"	"1"	"100"	"1154"	""	""	""	""	""	""	""	""	
"56"	"561002,10"	"1000"	"300"	"5"	"30"	"1153"	""	""	""	""	""	""	""	""	
"57"	"410103,10"	"100"	"30"	"30"	"3"	"1153"	""	""	""	""	""	""	""	""	
"58"	"561001,10"	"500"	"150"	"40"	"15"	"1152"	""	""	""	""	""	""	""	""	
"59"	"400200,5"	"500"	"150"	"40"	"15"	"1152"	""	""	""	""	""	""	""	""	
"60"	"561000,5"	"70"	"21"	"50"	"2"	"1151"	""	""	""	""	""	""	""	""	
