"ID"	"怪物ID"	"怪物出生坐标"	"怪物出生朝向"	"地图id"	"刷怪倒计时(秒)"	"挑战倒计时(秒)"	"伤害排名刷新间隔(秒)"	"离开倒计时时间(秒)"	"是否默认开启"	"每日挑战次数(废弃)"	"增益buffID"	"增益buff价格"	"增益buff购买次数"	"击杀者奖励ID"	"参与者奖励ID"	"公会奖励ID"	"伤害排名1奖励ID"	"伤害排名2奖励ID"	"伤害排名3奖励ID"	"伤害排名4奖励ID"	"伤害排名5奖励ID"	"伤害排名6奖励ID"	"伤害排名7奖励ID"	"伤害排名8奖励ID"	"伤害排名9奖励ID"	"伤害排名10奖励ID"	"boss头像"	"物品奖励（前端显示,最多16个）（由于配合奖励来源显示，按照伤害排名、最后一击、团队参与、联盟仓库的顺序填固定4个奖励，只做展示用）"	"boss介绍"	"奖励来源（0伤害,1击杀,2参与,3工会)"	"界面模型id调用模型表数据"	"名字"	"界面模型体积缩放"	"界面模型上下位移"	
"id"	"boss_id"	"boss_loc"	"boss_dir"	"basemapid"	"spawn_time"	"combat_time"	"dmg_rank_update"	"leave_time"	"default_open"	"combat_oneday"	"buff_id"	"buff_price"	"buff_layer"	"killer_aid"	"parter_aid"	"guild_aid"	"dmg1_aid"	"dmg2_aid"	"dmg3_aid"	"dmg4_aid"	"dmg5_aid"	"dmg6_aid"	"dmg7_aid"	"dmg8_aid"	"dmg9_aid"	"dmg10_aid"	"bass_image"	"item"	"boss_introduce"	"item_type"	"model_id"	"name"	"model_size"	"model_pos_y"	
"int"	"int"	"float[3]"	"float[3]"	"int"	"int"	"int"	"int"	"int"	"bool"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"string[]"	"int[]"	"int"	"int[]"	"int"	"string"	"float"	"float"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cl"	"c"	"c"	
"1"	"43401"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"1"	"10"	"90020001"	"50"	"5"	"100"	"200"	"0"	"400"	"500"	"600"	"700"	"700"	""	""	""	""	""	"Icon_sc,boss_wumeinvzi"	"300102,300118,300103,300101"	"7051"	"0,1,2,2"	"200001"	"妩媚女子"	"7.000000"	"-6.300000"	
"2"	"43402"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"0"	"10"	"90020001"	"50"	"5"	"100"	"201"	"0"	"401"	"501"	"601"	"701"	"701"	""	""	""	""	""	"Icon_sc,boss_wumeinvzi"	"300102,300118,300103,300101"	"7051"	"0,1,2,2"	"200001"	"妩媚女子"	"7.000000"	"-6.300000"	
"3"	"43403"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"0"	"10"	"90020001"	"50"	"5"	"100"	"202"	"0"	"402"	"502"	"602"	"702"	"702"	""	""	""	""	""	"Icon_sc,boss_wumeinvzi"	"300102,300118,300103,300101"	"7051"	"0,1,2,2"	"200001"	"妩媚女子"	"7.000000"	"-6.300000"	
"4"	"43404"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"0"	"10"	"90020001"	"50"	"5"	"101"	"203"	"0"	"403"	"503"	"603"	"703"	"703"	""	""	""	""	""	"Icon_sc,boss_jiefeishouling"	"300102,300119,300103,300101"	"7051"	"0,1,2,2"	"200003"	"劫匪首领"	"4.500000"	"-4.100000"	
"5"	"43405"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"0"	"10"	"90020001"	"50"	"5"	"101"	"204"	"0"	"404"	"504"	"604"	"704"	"704"	""	""	""	""	""	"Icon_sc,boss_jiefeishouling"	"300102,300119,300103,300101"	"7051"	"0,1,2,2"	"200003"	"劫匪首领"	"4.500000"	"-4.100000"	
"6"	"43406"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"0"	"10"	"90020001"	"50"	"5"	"101"	"205"	"0"	"405"	"505"	"605"	"705"	"705"	""	""	""	""	""	"Icon_sc,boss_jiefeishouling"	"300102,300119,300103,300101"	"7051"	"0,1,2,2"	"200003"	"劫匪首领"	"4.500000"	"-4.100000"	
"7"	"43407"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"0"	"10"	"90020001"	"50"	"5"	"101"	"206"	"0"	"406"	"506"	"606"	"706"	"706"	""	""	""	""	""	"Icon_sc,boss_jiangjun"	"300102,300119,300103,300101"	"7051"	"0,1,2,2"	"200014"	"将军"	"3.500000"	"-3.200000"	
"8"	"43408"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"0"	"10"	"90020001"	"50"	"5"	"101"	"207"	"0"	"407"	"507"	"607"	"707"	"707"	""	""	""	""	""	"Icon_sc,boss_jiangjun"	"300102,300119,300103,300101"	"7051"	"0,1,2,2"	"200014"	"将军"	"3.500000"	"-3.200000"	
"9"	"43409"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"0"	"10"	"90020001"	"50"	"5"	"101"	"208"	"0"	"408"	"508"	"608"	"708"	"708"	""	""	""	""	""	"Icon_sc,boss_jiangjun"	"300102,300119,300103,300101"	"7051"	"0,1,2,2"	"200014"	"将军"	"3.500000"	"-3.200000"	
"10"	"43410"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"0"	"10"	"90020001"	"50"	"5"	"102"	"209"	"0"	"409"	"509"	"609"	"709"	"709"	""	""	""	""	""	"Icon_sc,boss_niaoren"	"300102,300120,300103,300101"	"7051"	"0,1,2,2"	"200016"	"鸟人"	"4.000000"	"-4.400000"	
"11"	"43411"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"0"	"10"	"90020001"	"50"	"5"	"102"	"210"	"0"	"410"	"510"	"610"	"710"	"710"	""	""	""	""	""	"Icon_sc,boss_niaoren"	"300102,300120,300103,300101"	"7051"	"0,1,2,2"	"200016"	"鸟人"	"4.000000"	"-4.400000"	
"12"	"43412"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"0"	"10"	"90020001"	"50"	"5"	"102"	"211"	"0"	"411"	"511"	"611"	"711"	"711"	""	""	""	""	""	"Icon_sc,boss_niaoren"	"300102,300120,300103,300101"	"7051"	"0,1,2,2"	"200016"	"鸟人"	"4.000000"	"-4.400000"	
"13"	"43413"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"0"	"10"	"90020001"	"50"	"5"	"102"	"212"	"0"	"412"	"512"	"612"	"712"	"712"	""	""	""	""	""	"Icon_sc,boss_baozhu"	"300102,300120,300103,300101"	"7051"	"0,1,2,2"	"200018"	"黑龙堡主"	"4.400000"	"-3.900000"	
"14"	"43414"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"0"	"10"	"90020001"	"50"	"5"	"102"	"213"	"0"	"413"	"513"	"613"	"713"	"713"	""	""	""	""	""	"Icon_sc,boss_baozhu"	"300102,300120,300103,300101"	"7051"	"0,1,2,2"	"200018"	"黑龙堡主"	"4.400000"	"-3.900000"	
"15"	"43415"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"0"	"10"	"90020001"	"50"	"5"	"102"	"214"	"0"	"414"	"514"	"614"	"714"	"714"	""	""	""	""	""	"Icon_sc,boss_baozhu"	"300102,300120,300103,300101"	"7051"	"0,1,2,2"	"200018"	"黑龙堡主"	"4.400000"	"-3.900000"	
"16"	"43416"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"0"	"10"	"90020001"	"50"	"5"	"103"	"215"	"0"	"415"	"515"	"615"	"715"	"715"	""	""	""	""	""	"Icon_sc,boss_binghuomo"	"300102,300121,300103,300101"	"7051"	"0,1,2,2"	"200009"	"冰火魔"	"3.800000"	"-3.400000"	
"17"	"43417"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"0"	"10"	"90020001"	"50"	"5"	"103"	"216"	"0"	"416"	"516"	"616"	"716"	"716"	""	""	""	""	""	"Icon_sc,boss_binghuomo"	"300102,300121,300103,300101"	"7051"	"0,1,2,2"	"200009"	"冰火魔"	"3.800000"	"-3.400000"	
"18"	"43418"	"127.9,86.2,127.7"	"-1.0,0.0,0.0"	"6003"	"30"	"600"	"3"	"20"	"0"	"10"	"90020001"	"50"	"5"	"103"	"217"	"0"	"417"	"517"	"617"	"717"	"717"	""	""	""	""	""	"Icon_sc,boss_binghuomo"	"300102,300121,300103,300101"	"7051"	"0,1,2,2"	"200009"	"冰火魔"	"3.800000"	"-3.400000"	
