"自增id"	"兑换所需道具（不能消耗铜币，铜币不是道具）"	"兑换得到道具"	"兑换次数"	"活动开始时间点"	"活动开始时间点"	"活动结束时间点"	"活动结束时间点"	
"id"	"item_need"	"item_get"	"time"	"StartTime_day"	"StartTime_minute"	"EndTime_day"	"EndTime_minute"	
"int"	"int[]"	"int[]"	"int"	"int"	"string"	"int"	"string"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"100303,100"	"100102,2"	"999"	"20180510"	"00:01:00"	"20180519"	"23:59:59"	
"2"	"100303,100"	"100101,5"	"999"	"20180510"	"00:01:00"	"20180519"	"23:59:59"	
"3"	"100303,200"	"100044,1"	"999"	"20180510"	"00:01:00"	"20180519"	"23:59:59"	
"4"	"100303,200"	"110401,2"	"999"	"20180510"	"00:01:00"	"20180519"	"23:59:59"	
"5"	"100303,300"	"110405,2"	"999"	"20180510"	"00:01:00"	"20180519"	"23:59:59"	
"6"	"100303,1000"	"710400,1"	"20"	"20180510"	"00:01:00"	"20180519"	"23:59:59"	
"7"	"100303,700"	"110404,2"	"50"	"20180510"	"00:01:00"	"20180519"	"23:59:59"	
"8"	"100303,1000"	"550110,3"	"20"	"20180510"	"00:01:00"	"20180519"	"23:59:59"	
