"索引"	"轮数"	"品级"	"品级概率"	"物品列表"	"日期选择1:自然日，2:开服日"	"开服第几天开放"	"开服第几天关闭"	"开始日期"	"截至日期"	
"index"	"round"	"rank"	"rank_rate"	"item_list"	"time_select"	"start_day"	"ended_day"	"start_time"	"ended_time"	
"int"	"int"	"int"	"int"	"int[]"	"int"	"int"	"int"	"string"	"string"	
"cs"	"cs"	"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"0"	"1"	"1000"	"1"	"2"	"2"	"3"	""	""	
"2"	"0"	"2"	"4000"	"2,3,4"	"2"	"2"	"3"	""	""	
"3"	"0"	"3"	"25000"	"5,6,7"	"2"	"2"	"3"	""	""	
"4"	"0"	"4"	"70000"	"8,9,10,11,12"	"2"	"2"	"3"	""	""	
"5"	"1"	"1"	"1000"	"1"	"1"	""	""	"2016-12-20-00:00:00"	"2016-12-31-00:00:00"	
"6"	"1"	"2"	"4000"	"2,3,4"	"1"	""	""	"2016-12-20-00:00:00"	"2016-12-31-00:00:00"	
"7"	"1"	"3"	"25000"	"5,6,7"	"1"	""	""	"2016-12-20-00:00:00"	"2016-12-31-00:00:00"	
"8"	"1"	"4"	"70000"	"8,9,10,11,12"	"1"	""	""	"2016-12-20-00:00:00"	"2016-12-31-00:00:00"	
"9"	"2"	"1"	"1000"	"1"	"1"	""	""	"2018-01-01-00:00:00"	"2018-01-30-23:59:00"	
"10"	"2"	"2"	"4000"	"2,3,4"	"1"	""	""	"2018-01-01-00:00:00"	"2018-01-30-23:59:00"	
"11"	"2"	"3"	"25000"	"5,6,7"	"1"	""	""	"2018-01-01-00:00:00"	"2018-01-30-23:59:00"	
"12"	"2"	"4"	"70000"	"8,9,10,11,12"	"1"	""	""	"2018-01-01-00:00:00"	"2018-01-30-23:59:00"	
"13"	"3"	"1"	"1000"	"1"	"1"	""	""	"2018-02-01-00:00:00"	"2018-02-28-23:59:00"	
"14"	"3"	"2"	"4000"	"2,3,4"	"1"	""	""	"2018-02-01-00:00:00"	"2018-02-28-23:59:00"	
"15"	"3"	"3"	"25000"	"5,6,7"	"1"	""	""	"2018-02-01-00:00:00"	"2018-02-28-23:59:00"	
"16"	"3"	"4"	"70000"	"8,9,10,11,12"	"1"	""	""	"2018-02-01-00:00:00"	"2018-02-28-23:59:00"	
"17"	"4"	"1"	"1000"	"1"	"1"	""	""	"2018-03-01-00:00:00"	"2018-03-31-23:59:00"	
"18"	"4"	"2"	"4000"	"2,3,4"	"1"	""	""	"2018-03-01-00:00:00"	"2018-03-31-23:59:00"	
"19"	"4"	"3"	"25000"	"5,6,7"	"1"	""	""	"2018-03-01-00:00:00"	"2018-03-31-23:59:00"	
"20"	"4"	"4"	"70000"	"8,9,10,11,12"	"1"	""	""	"2018-03-01-00:00:00"	"2018-03-31-23:59:00"	
"21"	"5"	"1"	"1000"	"1"	"1"	""	""	"2018-04-01-00:00:00"	"2018-04-30-23:59:00"	
"22"	"5"	"2"	"4000"	"2,3,4"	"1"	""	""	"2018-04-01-00:00:00"	"2018-04-30-23:59:00"	
"23"	"5"	"3"	"25000"	"5,6,7"	"1"	""	""	"2018-04-01-00:00:00"	"2018-04-30-23:59:00"	
"24"	"5"	"4"	"70000"	"8,9,10,11,12"	"1"	""	""	"2018-04-01-00:00:00"	"2018-04-30-23:59:00"	
"25"	"6"	"1"	"1000"	"1"	"1"	""	""	"2018-05-01-00:00:00"	"2019-05-31-23:59:00"	
"26"	"6"	"2"	"4000"	"2,3,4"	"1"	""	""	"2018-05-01-00:00:00"	"2019-05-31-23:59:00"	
"27"	"6"	"3"	"25000"	"5,6,7"	"1"	""	""	"2018-05-01-00:00:00"	"2019-05-31-23:59:00"	
"28"	"6"	"4"	"70000"	"8,9,10,11,12"	"1"	""	""	"2018-05-01-00:00:00"	"2019-05-31-23:59:00"	
