"索引"	"怪物ID（读取Creaturetype表）"	"怪物名称"	"图鉴总级别"	"三级图鉴所需数量"	"图鉴属性一级属性（属性ID，属性值）(0级升到1级）（属性不得超过3条）"	"图鉴属性二级属性（属性ID，属性值）(1级升到2级）（属性不得超过3条）"	"图鉴属性三级属性（属性ID，属性值）(2级升到3级）（属性不得超过3条）"	"怪物MarkListConfig的ID"	"怪物图鉴图集"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"id"	"monster_id"	"monster_name"	"grade"	"num"	"attr1"	"attr2"	"attr3"	"markListId"	"portrait"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"int"	"int"	"string"	"int"	"int[]"	"int[]"	"int[]"	"int[]"	"int"	"string[2]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"cs"	"cs"	"csl"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1"	"10092"	"山贼(Lv.30)"	"3"	"500,2500,15000"	"0,329,1,16,2,8"	"0,824,1,41,2,20"	"0,1648,1,82,2,41"	"211"	"Pic_atlas,icon_07"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2"	"10093"	"野猪(Lv.30)"	"3"	"1000,5000,25000"	"0,401,1,20,2,10"	"0,1004,1,50,2,25"	"0,2008,1,100,2,50"	"212"	"Pic_atlas,icon_03"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3"	"10095"	"乞活军(Lv.40)"	"3"	"1500,7500,35000"	"0,444,1,22,2,11"	"0,1112,1,55,2,27"	"0,2224,1,111,2,55"	"214"	"Pic_atlas,icon_17"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4"	"11117"	"北魏精兵(Lv.60)"	"3"	"2500,15000,50000"	"0,554,1,27,2,13"	"0,1386,1,69,2,34"	"0,2773,1,138,2,69"	"207"	"Pic_atlas,icon_05"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5"	"12068"	"狼(Lv.81)"	"3"	"5000,25000,100000"	"0,826,1,41,2,20"	"0,2065,1,103,2,51"	"0,4131,1,206,2,103"	"312"	"Pic_atlas,icon_06"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6"	"12139"	"山贼(Lv.100)"	"3"	"10000,50000,200000"	"0,959,1,47,2,23"	"0,2399,1,119,2,59"	"0,4798,1,239,2,119"	"383"	"Pic_atlas,icon_07"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7"	"13018"	"老虎(Lv.129)"	"3"	"20000,100000,300000"	"0,1548,1,77,2,38"	"0,3870,1,193,2,96"	"0,7740,1,387,2,193"	"434"	"Pic_atlas,icon_01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
