"宠物阶数"	"升到下一阶后的宠物ID"	"宠物突破所需材料ID"	"当前阶段宠物突破单次所需材料数量"	"突破单次获得能量"	"暴击率，暴击倍数"	"当前阶段宠物突破所需总能量数量"	"当前阶附加总属性（填总属性值，而非差值）（属性ID，属性值）"	"当前阶当前阶段属性占比（每次升阶段占总属性的百分之多少，填累加值，结果向下取整）（第1个数据是0星属性）"	"是否可喂养"	"是否有技能"	"当前阶暴击技能(索引到MygicType表)"	"开启等级"	"喂养丹ID"	"喂养丹上限"	"单个喂养丹增加属性（一定要每一行都填一样的数据）"	"类别（1=宠物）"	
"id"	"nextRankId"	"item_id"	"item_num"	"power_single"	"power_strike"	"power_total"	"attr"	"level_percent"	"isfeed"	"iskill"	"petbuff"	"openlevel"	"feedid"	"feedmaxnum"	"feed_attr"	"kind"	
"int"	"int"	"int"	"int"	"int"	"float[2]"	"int"	"int[]"	"float[]"	"bool"	"bool"	"int"	"int"	"int"	"int"	"int[]"	"int"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"1002"	"110202"	"1"	"100"	"0,2"	"100"	"0,1905,1,95,2,47,8,0,10,0,16,0,18,0"	"0.05,0.14,0.28,0.42,0.56,0.7,0.84"	"0"	"0"	"50003001"	"1"	"110203"	"0"	"0,60,2,1"	"1"	
"2"	"1003"	"110202"	"2"	"100"	"0.5,2"	"200"	"0,15243,1,762,2,381,8,0,10,0,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"0"	"50003002"	"1"	"110203"	"10"	"0,60,2,1"	"1"	
"3"	"1004"	"110202"	"4"	"100"	"0.45,2"	"300"	"0,68597,1,3429,2,1714,8,0,10,0,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"0"	"50003003"	"5"	"110203"	"100"	"0,60,2,1"	"1"	
"4"	"1005"	"110202"	"7"	"100"	"0.4,2"	"500"	"0,171493,1,8574,2,4287,8,952,10,952,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50003004"	"10"	"110203"	"500"	"0,60,2,1"	"1"	
"5"	"1006"	"110202"	"12"	"100"	"0.35,2"	"800"	"0,381096,1,19054,2,9527,8,2117,10,2117,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50003005"	"20"	"110203"	"2000"	"0,60,2,1"	"1"	
"6"	"1007"	"110202"	"15"	"100"	"0.35,2"	"1300"	"0,647863,1,32393,2,16196,8,3599,10,3599,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50003006"	"30"	"110203"	"4000"	"0,60,2,1"	"1"	
"7"	"1008"	"110202"	"20"	"100"	"0.3,2"	"2000"	"0,1143288,1,57164,2,28582,8,6351,10,6351,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50003007"	"40"	"110203"	"8000"	"0,60,2,1"	"1"	
"8"	"1009"	"110202"	"25"	"100"	"0.3,2"	"3000"	"0,1791151,1,89557,2,44778,8,9950,10,9950,16,9950,18,9950"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50003008"	"50"	"110203"	"15000"	"0,60,2,1"	"1"	
"9"	"1010"	"110202"	"30"	"100"	"0.3,2"	"3500"	"0,2667672,1,133383,2,66691,8,14820,10,14820,16,14820,18,14820"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50003009"	"65"	"110203"	"30000"	"0,60,2,1"	"1"	
"10"	"-1"	"110202"	"30"	"100"	"0.3,2"	"4000"	"0,3810960,1,190548,2,95274,8,21172,10,21172,16,21172,18,21172"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50003010"	"80"	"110203"	"50000"	"0,60,2,1"	"1"	
