"宠物等级"	"类型（1=普通宠物,2=待定）"	"宠物升级所需材料ID"	"当前级宠物升级单次所需材料级量"	"当前级宠物升级所需总材料级量"	"当前级宠物附加属性（填总属性值，而非差值）（属性ID，属性值）"	"当前阶当前级属性占比（每次升阶段占总属性的百分之多少，填累加值，结果向下取整）（第1个数据是0星属性）"	
"id"	"kind"	"item_id"	"item_num"	"item_num_total"	"attr"	"level_percent"	
"int"	"int"	"int"	"int"	"int"	"int[]"	"float[]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"1"	"110201"	"2"	"4"	"0,100,1,10,2,10,12,0,14,0,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"2"	"1"	"110201"	"2"	"4"	"0,200,1,20,2,20,12,0,14,0,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"3"	"1"	"110201"	"2"	"4"	"0,300,1,30,2,30,12,0,14,0,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"4"	"1"	"110201"	"2"	"4"	"0,400,1,40,2,40,12,0,14,0,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"5"	"1"	"110201"	"2"	"4"	"0,500,1,50,2,50,12,0,14,0,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"6"	"1"	"110201"	"2"	"4"	"0,600,1,60,2,60,12,0,14,0,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"7"	"1"	"110201"	"2"	"4"	"0,700,1,70,2,70,12,0,14,0,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"8"	"1"	"110201"	"2"	"4"	"0,800,1,80,2,80,12,0,14,0,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"9"	"1"	"110201"	"2"	"4"	"0,900,1,90,2,90,12,0,14,0,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"10"	"1"	"110201"	"2"	"4"	"0,1000,1,100,2,100,12,0,14,0,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
