"自增id"	"兑换道具(转剑）"	"兑换道具（天威）"	"兑换道具（云锦）"	"兑换道具（无）"	"道具原始价值"	"价格"	"赠送道具,最多显示五种"	"购买次数"	"目标图集"	
"id"	"item_war"	"item_arc"	"item_mag"	"item_rog"	"prices"	"real_price"	"reward_item"	"limit_num"	"picture"	
"int"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int"	"int"	"int[]"	"int"	"string[]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"cs"	
"1"	"100081,10"	"100081,10"	"100081,10"	"100039,1"	"100"	"40"	"100044,1"	"1"	"recharge,a"	
"2"	"100082,10"	"100082,10"	"100082,10"	"100039,1"	"100"	"40"	"100044,1"	"1"	"recharge,b"	
"3"	"100083,10"	"100083,10"	"100083,10"	"100039,1"	"100"	"40"	"100044,1"	"1"	"recharge,c"	
"4"	"100084,10"	"100084,10"	"100084,10"	"100039,1"	"100"	"40"	"100044,1"	"1"	"recharge,d"	
"5"	"100085,10"	"100085,10"	"100085,10"	"100039,1"	"100"	"40"	"100044,1"	"1"	"recharge,e"	
"6"	"808255,1"	"808255,1"	"808255,1"	"100039,1"	"5"	"3"	"808250,1,808251,1,808252,1"	"1"	"recharge,a"	
"7"	"808258,1"	"808258,1"	"808258,1"	"100039,1"	"5"	"3"	"808250,1,808251,1,808252,1"	"1"	"recharge,b"	
"8"	"808256,1"	"808256,1"	"808256,1"	"100039,1"	"30"	"15"	"808250,3,808251,3,808252,3"	"1"	"recharge,c"	
"9"	"808259,1"	"808259,1"	"808259,1"	"100039,1"	"30"	"15"	"808250,3,808251,3,808252,3"	"1"	"recharge,d"	
"10"	"808253,1"	"808253,1"	"808253,1"	"100039,1"	"80"	"40"	"808254,2,808257,2"	"1"	"recharge,e"	
