"id"	"类型0=银币基金1=术力基金2=龙玉基金3=血脉基金4=宝石基金5=龙魂基金"	"职业1=战2=弓3=法"	"价格(充值金币)"	"回报率"	"第1天返回物品(itemid+count)"	"第2天返回物品"	"第3天返回物品"	"第4天返回物品"	"第5天返回物品"	"第7天返回物品"	"第10天返回物品"	"第15天返回物品"	"第21天返回物品"	"第30天返回物品"	""	""	""	""	""	
"id"	"type"	"profession"	"price"	"award_rate"	"day1_items"	"day2_items"	"day3_items"	"day4_items"	"day5_items"	"day7_items"	"day10_items"	"day15_items"	"day21_items"	"day30_items"	""	""	""	""	""	
"int"	"int"	"int"	"int"	"int"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	""	""	""	""	""	
"sc"	"sc"	"cs"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	""	""	""	""	""	
"1"	"0"	"1"	"88"	"880"	"600002,6"	"600002,6"	"600002,8"	"600002,8"	"600002,8"	"600002,12"	"600002,12"	"600002,30"	"600002,30"	"600003,8"	""	""	""	""	""	
"2"	"1"	"1"	"88"	"880"	"600017,15"	"600017,15"	"600017,20"	"600017,20"	"600017,20"	"600017,40"	"600017,40"	"600017,90"	"600017,90"	"600017,180"	""	""	""	""	""	
"3"	"2"	"1"	"188"	"1880"	"400100,5"	"400100,10"	"400100,10"	"400100,15"	"400100,15"	"400100,20"	"400100,20"	"400100,30"	"400100,35"	"400100,40"	""	""	""	""	""	
"4"	"3"	"1"	"488"	"4880"	"561001,1"	"561001,1"	"561001,2"	"561001,2"	"561001,3"	"561001,5"	"561001,5"	"561001,6"	"561001,10"	"561001,15"	""	""	""	""	""	
"5"	"4"	"1"	"288"	"2880"	"700203,1"	"700203,2"	"700303,1"	"700305,1"	"700301,1"	"700301,3"	"700307,3"	"700308,3"	"700409,1"	"700410,1"	""	""	""	""	""	
"6"	"5"	"1"	"888"	"4440"	"400200,1"	"400200,1"	"400200,1"	"400200,1"	"400200,1"	"400200,23"	"400200,3"	"400200,4"	"400200,5"	"400200,10"	""	""	""	""	""	
"7"	"0"	"2"	"88"	"880"	"600002,6"	"600002,6"	"600002,8"	"600002,8"	"600002,8"	"600002,12"	"600002,12"	"600002,30"	"600002,30"	"600003,8"	""	""	""	""	""	
"8"	"1"	"2"	"88"	"880"	"600017,15"	"600017,15"	"600017,20"	"600017,20"	"600017,20"	"600017,40"	"600017,40"	"600017,90"	"600017,90"	"600017,180"	""	""	""	""	""	
"9"	"2"	"2"	"188"	"1880"	"400100,5"	"400100,10"	"400100,10"	"400100,15"	"400100,15"	"400100,20"	"400100,20"	"400100,30"	"400100,35"	"400100,40"	""	""	""	""	""	
"10"	"3"	"2"	"488"	"4880"	"561001,1"	"561001,1"	"561001,2"	"561001,2"	"561001,3"	"561001,5"	"561001,5"	"561001,6"	"561001,10"	"561001,15"	""	""	""	""	""	
"11"	"4"	"2"	"288"	"2880"	"700203,1"	"700203,2"	"700303,1"	"700305,1"	"700301,1"	"700301,3"	"700307,3"	"700308,3"	"700409,1"	"700410,1"	""	""	""	""	""	
"12"	"5"	"2"	"888"	"4440"	"400200,1"	"400200,1"	"400200,1"	"400200,1"	"400200,1"	"400200,23"	"400200,3"	"400200,4"	"400200,5"	"400200,10"	""	""	""	""	""	
"13"	"0"	"3"	"88"	"880"	"600002,6"	"600002,6"	"600002,8"	"600002,8"	"600002,8"	"600002,12"	"600002,12"	"600002,30"	"600002,30"	"600003,8"	""	""	""	""	""	
"14"	"1"	"3"	"88"	"880"	"600017,15"	"600017,15"	"600017,20"	"600017,20"	"600017,20"	"600017,40"	"600017,40"	"600017,90"	"600017,90"	"600017,180"	""	""	""	""	""	
"15"	"2"	"3"	"188"	"1880"	"400100,5"	"400100,10"	"400100,10"	"400100,15"	"400100,15"	"400100,20"	"400100,20"	"400100,30"	"400100,35"	"400100,40"	""	""	""	""	""	
"16"	"3"	"3"	"488"	"4880"	"561001,1"	"561001,1"	"561001,2"	"561001,2"	"561001,3"	"561001,5"	"561001,5"	"561001,6"	"561001,10"	"561001,15"	""	""	""	""	""	
"17"	"4"	"3"	"288"	"2880"	"700203,1"	"700203,2"	"700303,1"	"700306,1"	"700302,1"	"700302,3"	"700307,3"	"700308,3"	"700409,1"	"700410,1"	""	""	""	""	""	
"18"	"5"	"3"	"888"	"4440"	"400200,1"	"400200,1"	"400200,1"	"400200,1"	"400200,1"	"400200,23"	"400200,3"	"400200,4"	"400200,5"	"400200,10"	""	""	""	""	""	
