"商店ID"	"所属NPCID50=铜钱商店51=金币商店52=XX商店53=荣誉商店54=竞技商店55=战龙商店56=血脉商店57=宝石互换商店58=战场商店59=水晶商店60=试炼商店61=试炼商店"	"银币Silver=1,金币Gold=2,荣誉Honor=4,竞技点Arena=8,物品Item=16,"	"商品在商店中的排列顺序"	"出售道具的道具ID"	"一次出售的数量0=没有限制"	"服务器出售上限。0=没有限制"	"个人购买上限0=没有限制"	"银币价格"	"金币价格"	"荣誉价格"	"竞技点数"	"武神勋章"	"跨服竞技奖章"	"密林印记点数"	"水晶硬币点数"	"试炼宝钻"	"所需道具编号"	"所需道具数量"	"条件1：公会试炼通关ID（试炼之地专用）"	
"ID"	"shopid"	"shoptype"	"position"	"itemid"	"itemnum"	"buylimit"	"selllimit"	"silver"	"gold"	"honor"	"arenaPoint"	"warMedal"	"athleticsMedal"	"battlepoint"	"crystalpoint"	"trialgem"	"needitem"	"neednum"	"trial_land_opened"	
"int"	"int"	"int[]"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"50"	"1"	"1"	"420001"	"1"	"0"	"0"	"1000"	"0"	"0"	""	""	""	""	""	""	"0"	"0"	""	
"2"	"50"	"1"	"2"	"420002"	"1"	"0"	"0"	"2000"	"0"	"0"	""	""	""	""	""	""	"0"	"0"	""	
"3"	"50"	"1"	"3"	"420003"	"1"	"0"	"0"	"3000"	"0"	"0"	""	""	""	""	""	""	"0"	"0"	""	
"4"	"50"	"1"	"4"	"420004"	"1"	"0"	"0"	"4000"	"0"	"0"	""	""	""	""	""	""	"0"	"0"	""	
"5"	"50"	"1"	"5"	"420005"	"1"	"0"	"0"	"5000"	"0"	"0"	""	""	""	""	""	""	"0"	"0"	""	
"6"	"50"	"1"	"6"	"420006"	"1"	"0"	"0"	"6000"	"0"	"0"	""	""	""	""	""	""	"0"	"0"	""	
"7"	"50"	"1"	"7"	"420007"	"1"	"0"	"0"	"8000"	"0"	"0"	""	""	""	""	""	""	"0"	"0"	""	
"8"	"50"	"1"	"8"	"420008"	"1"	"0"	"0"	"10000"	"0"	"0"	""	""	""	""	""	""	"0"	"0"	""	
"9"	"50"	"1"	"9"	"420009"	"1"	"0"	"0"	"12000"	"0"	"0"	""	""	""	""	""	""	"0"	"0"	""	
"10"	"50"	"1"	"10"	"420010"	"1"	"0"	"0"	"15000"	"0"	"0"	""	""	""	""	""	""	"0"	"0"	""	
"201"	"53"	"4"	"2"	"800141"	"1"	"0"	"0"	"0"	"0"	"150"	""	""	""	""	""	""	"0"	"0"	""	
