"id"	"名称"	"不填(自动生成)"	""	""	""	""	""	""	""	""	
"id"	"name"	"utf_name"	""	""	""	""	""	""	""	""	
"int"	"string"	"string"	""	""	""	""	""	""	""	""	
"s"	"s"	"s"	""	""	""	""	""	""	""	""	
"0"	"出售物品"	""	""	""	""	""	""	""	""	""	
"1"	"掉落拾取"	""	""	""	""	""	""	""	""	""	
"2"	"任务奖励"	""	""	""	""	""	""	""	""	""	
"3"	"占星获得"	""	""	""	""	""	""	""	""	""	
"4"	"副本活动"	""	""	""	""	""	""	""	""	""	
"5"	"lua脚本"	""	""	""	""	""	""	""	""	""	
"6"	"邮件奖励"	""	""	""	""	""	""	""	""	""	
"7"	"无用"	""	""	""	""	""	""	""	""	""	
"8"	"使用宝箱"	""	""	""	""	""	""	""	""	""	
"9"	"无用"	""	""	""	""	""	""	""	""	""	
"10"	"探险获得"	""	""	""	""	""	""	""	""	""	
"11"	"礼包获得"	""	""	""	""	""	""	""	""	""	
"12"	"占卜获得"	""	""	""	""	""	""	""	""	""	
"13"	"副本奖励"	""	""	""	""	""	""	""	""	""	
"14"	"点金术"	""	""	""	""	""	""	""	""	""	
"15"	"vip首充礼包"	""	""	""	""	""	""	""	""	""	
"16"	"vip每日礼包"	""	""	""	""	""	""	""	""	""	
"17"	"光环"	""	""	""	""	""	""	""	""	""	
"18"	"充值系统"	""	""	""	""	""	""	""	""	""	
"19"	"公会商店兑换"	""	""	""	""	""	""	""	""	""	
"20"	"工会任务奖励"	""	""	""	""	""	""	""	""	""	
"21"	"物品礼包奖励"	""	""	""	""	""	""	""	""	""	
"22"	"签到物品奖励"	""	""	""	""	""	""	""	""	""	
"23"	"活跃度物品奖励"	""	""	""	""	""	""	""	""	""	
"24"	"成就物品奖励"	""	""	""	""	""	""	""	""	""	
"25"	"家园塔罗牌物品奖励"	""	""	""	""	""	""	""	""	""	
"26"	"家园任务奖励"	""	""	""	""	""	""	""	""	""	
"27"	"公会果树摘取"	""	""	""	""	""	""	""	""	""	
"28"	"水晶魔方领取"	""	""	""	""	""	""	""	""	""	
"29"	"家园赌博(风险投资)领"	""	""	""	""	""	""	""	""	""	
"30"	"黑暗竞技场通关奖励"	""	""	""	""	""	""	""	""	""	
"31"	"初次登陆"	""	""	""	""	""	""	""	""	""	
"32"	"采集"	""	""	""	""	""	""	""	""	""	
"33"	"使用血脉圣物"	""	""	""	""	""	""	""	""	""	
"34"	"竞技场参赛奖励"	""	""	""	""	""	""	""	""	""	
"35"	"武神争霸参赛奖励"	""	""	""	""	""	""	""	""	""	
"36"	"武神争霸膜拜奖励"	""	""	""	""	""	""	""	""	""	
"37"	"GM给"	""	""	""	""	""	""	""	""	""	
"38"	"扫荡奖励"	""	""	""	""	""	""	""	""	""	
"39"	"助威奖励"	""	""	""	""	""	""	""	""	""	
"40"	"通天塔补领"	""	""	""	""	""	""	""	""	""	
"41"	"通用活动基金分红回馈"	""	""	""	""	""	""	""	""	""	
"42"	"开服竞拍返还"	""	""	""	""	""	""	""	""	""	
"43"	"凛冬修炼奖励"	""	""	""	""	""	""	""	""	""	
"44"	"龙域守护奖励"	""	""	""	""	""	""	""	""	""	
"45"	"离线奖励"	""	""	""	""	""	""	""	""	""	
"46"	"7日任务奖励"	""	""	""	""	""	""	""	""	""	
"47"	"金币送礼(韩服)"	""	""	""	""	""	""	""	""	""	
"48"	"蓝钻奖励(腾讯)"	""	""	""	""	""	""	""	""	""	
"49"	"全服发奖"	""	""	""	""	""	""	""	""	""	
"50"	"道具基金"	""	""	""	""	""	""	""	""	""	
"51"	"试炼之地奖励"	""	""	""	""	""	""	""	""	""	
"52"	"道具基金扩展"	""	""	""	""	""	""	""	""	""	
"53"	"角色创建奖励"	""	""	""	""	""	""	""	""	""	
