"vip等级"	"vip累积经验"	"等级图片"	"奖励标签"	"背景图"	"特权说明"	"通用模型展示"	"选中时展示动作（act文件名）"	"通用挂点"	"全真模型展示"	"全真挂点"	"少林模型展示"	"少林挂点"	"丐帮模型展示"	"丐帮挂点"	"vip奖励物品（填物品配置id）男"	"vip奖励数量（填对应物品数量）男"	"vip奖励物品（填物品配置id）女"	"vip奖励数量（填对应物品数量）女"	"每日奖励物品"	"全真奖励物品"	"少林奖励物品"	"丐帮奖励物品"	"升级vip是否进行广播"	"享有特权1"	"享有特权2"	"享有特权3"	"享有特权4"	"享有特权5"	"享有特权6"	"享有特权7经验本需要同时修改SceneConfig中givecount"	"享有特权8组队本"	"享有特权9铜币"	"享有特权10"	"享有特权11"	"享有特权12"	"享有特权13"	"享有特权14"	"享有特权15"	"享有特权16（探索总时长）"	"享有特权17"	"享有特权18需要同时修改SceneConfig中givecount"	"享有特权19需要同时修改SceneConfig中givecount"	"享有特权20需要同时修改SceneConfig中givecount"	"享有特权21需要同时修改SceneConfig中givecount"	"享有特权22"	"享有特权23"	"享有特权24"	"享有特权25"	"享有特权26"	"享有特权27"	"享有特权28"	"享有特权29"	"享有特权30"	"免费抽卡能量积累比例万分比"	"付费抽卡能量积累比例万分比"	
"level"	"exp"	"vip_imagename"	"vip_title_imagenamestr"	"vip_background"	"vip_imagedroit"	"show_model_currency"	"model_act_select"	"model_hang_currency"	"show_model_quanzhen"	"model_hang_quanzhen"	"show_model_shaolin"	"model_hang_shaolin"	"show_model_gaibang"	"model_hang_gaibang"	"reward_items_man"	"reward_items_count_man"	"reward_items_woman"	"reward_items_count_woman"	"day_reward_items"	"quanzhen_reward_items"	"shaolin_reward_items"	"gaibang_reward_items"	"broadcast"	"privilege_1"	"privilege_2"	"privilege_3"	"privilege_4"	"privilege_5"	"privilege_6"	"privilege_7"	"privilege_8"	"privilege_9"	"privilege_10"	"privilege_11"	"privilege_12"	"privilege_13"	"privilege_14"	"privilege_15"	"privilege_16"	"privilege_17"	"privilege_18"	"privilege_19"	"privilege_20"	"privilege_21"	"privilege_22"	"privilege_23"	"privilege_24"	"privilege_25"	"privilege_26"	"privilege_27"	"privilege_28"	"privilege_29"	"privilege_30"	"freeGetEnergy"	"payGetEnergy"	
"int"	"int"	"string[]"	"string[]"	"string[]"	"string[]"	"int[]"	"string[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"bool"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"int"	"int"	
"cs"	"cs"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"s"	"s"	
"0"	""	"pic_vip_png1,0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"16,4"	"17,0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"8000"	"10000"	
"1"	"10"	"pic_vip_png1,1"	""	"back_vip_png1,vip_back1"	"pic_vip_wenzi2,vip1"	"70048"	""	"1"	""	""	""	""	""	""	"420114,100004,100001,100010"	"1,150,100000,10000"	"420114,100004,100001,100010"	"1,150,100000,10000"	"400001,1"	""	""	""	"0"	"1,0"	"2,1"	"3,0"	"4,1"	"5,0"	"6,0"	"7,0"	"8,1"	"9,0"	"10,0"	"11,2"	"12,1"	"13,1"	"14,0"	"15,0"	"16,4"	"17,0"	"18,0"	"19,0"	"20,0"	"21,0"	""	""	""	""	""	""	""	""	""	"7500"	"10000"	
"2"	"400"	"pic_vip_png1,2"	""	"back_vip_png1,vip_back1"	"pic_vip_wenzi2,vip2"	"70048"	""	"1"	""	""	""	""	""	""	"100004,110102,110103,110101"	"200,5,30,30"	"100004,110102,110103,110101"	"200,5,30,30"	"400001,1,100101,10"	""	""	""	"0"	"1,0"	"2,1"	"3,0"	"4,2"	"5,0.3"	"6,0.3"	"7,0"	"8,1"	"9,0"	"10,1"	"11,2"	"12,1"	"13,1"	"14,0"	"15,0"	"16,5"	"17,0"	"18,0"	"19,0"	"20,0"	"21,0"	""	""	""	""	""	""	""	""	""	"7000"	"10000"	
"3"	"800"	"pic_vip_png1,3"	""	"back_vip_png1,vip_back1"	"pic_vip_wenzi2,vip3"	"12000005"	"birth_jiangxiaohu.act.txt"	"1"	""	""	""	""	""	""	"100004,110202,110203,110201"	"300,8,50,50"	"100004,110202,110203,110201"	"300,8,50,50"	"400001,2,100101,15"	""	""	""	"0"	"1,0"	"2,1"	"3,0"	"4,3"	"5,0.3"	"6,0.3"	"7,0"	"8,1"	"9,0"	"10,1"	"11,8"	"12,1"	"13,1"	"14,1"	"15,0"	"16,6"	"17,0"	"18,0"	"19,0"	"20,0"	"21,0"	""	""	""	""	""	""	""	""	""	"6500"	"10000"	
"4"	"1500"	"pic_vip_png1,4"	""	"back_vip_png1,vip_back1"	"pic_vip_wenzi2,vip4"	"11044001"	"heroman_ydds_zhanshi.act.txt"	"1"	""	""	""	""	""	""	"800011,100070,100071,100001"	"130,10,20,1000000"	"800011,100070,100071,100001"	"130,10,20,1000000"	"100102,2,400001,2,100101,15"	""	""	""	"0"	"1,0"	"2,1"	"3,0"	"4,4"	"5,0.3"	"6,0.3"	"7,0"	"8,2"	"9,0"	"10,1"	"11,8"	"12,2"	"13,1"	"14,1"	"15,1"	"16,8"	"17,0"	"18,0"	"19,0"	"20,0"	"21,0"	""	""	""	""	""	""	""	""	""	"6000"	"10000"	
"5"	"4000"	"pic_vip_png1,5"	""	"back_vip_png1,vip_back1"	"pic_vip_wenzi2,vip5"	"17030001"	""	"1"	""	""	""	""	""	""	"550090,551090,800011,800011"	"100,5,40,40"	"550090,551090,800011,800011"	"100,5,40,40"	"100102,5,400001,3,100101,20"	""	""	""	"0"	"1,0"	"2,2"	"3,0"	"4,5"	"5,0.6"	"6,0.6"	"7,0"	"8,2"	"9,0"	"10,1"	"11,8"	"12,2"	"13,1"	"14,2"	"15,1"	"16,10"	"17,0"	"18,0"	"19,0"	"20,0"	"21,0"	""	""	""	""	""	""	""	""	""	"5500"	"10000"	
"6"	"10000"	"pic_vip_png1,6"	""	"back_vip_png1,vip_back1"	"pic_vip_wenzi2,vip6"	"70049"	""	"1"	""	""	""	""	""	""	""	""	""	""	"100102,8,400001,4,100101,30"	"21551301,1,100201,5,700602,1,700601,1"	"21551201,1,100201,5,700602,1,700601,1"	"21551101,1,100201,5,700602,1,700601,1"	"1"	"1,0"	"2,2"	"3,1"	"4,6"	"5,0.7"	"6,0.7"	"7,0"	"8,3"	"9,0"	"10,1"	"11,8"	"12,2"	"13,1"	"14,3"	"15,1"	"16,12"	"17,0"	"18,0"	"19,0"	"20,0"	"21,0"	""	""	""	""	""	""	""	""	""	"5000"	"9500"	
