"ID"	"连胜(连胜3次以上一直用3次连胜间隔)"	"排名区间(下限-1表示不判断)"	"可选对手高于自己间隔1（前10名特殊处理）"	"可选对手高于自己间隔2（前10名特殊处理）"	"可选对手高于自己间隔3（前10名特殊处理）"	"可选对手区间范围1（1001名以后特殊处理）"	"可选对手区间范围1（1001名以后特殊处理）"	"可选对手区间范围1（1001名以后特殊处理）"	""	
"id"	"win"	"rank"	"opt_rival_idx1"	"opt_rival_idx2"	"opt_rival_idx3"	"range_rival_idx1"	"range_rival_idx2"	"range_rival_idx3"	""	
"int"	"int"	"int[2]"	"int"	"int"	"int"	"int[2]"	"int[2]"	"int[2]"	""	
"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	""	
"1"	"0"	"1,10"	"0"	"0"	"0"	""	""	""	""	
"2"	"0"	"11,50"	"1"	"3"	"5"	""	""	""	""	
"3"	"0"	"51,100"	"5"	"15"	"25"	""	""	""	""	
"4"	"0"	"101,500"	"10"	"30"	"50"	""	""	""	""	
"5"	"0"	"501,1000"	"100"	"200"	"300"	""	""	""	""	
"6"	"0"	"1001,-1"	""	""	""	"901,1000"	"801,900"	"701,800"	""	
"11"	"1"	"1,10"	"0"	"0"	"0"	""	""	""	""	
"12"	"1"	"11,50"	"2"	"4"	"6"	""	""	""	""	
"13"	"1"	"51,100"	"8"	"18"	"28"	""	""	""	""	
"14"	"1"	"101,500"	"15"	"35"	"55"	""	""	""	""	
"15"	"1"	"501,1000"	"150"	"250"	"350"	""	""	""	""	
"16"	"1"	"1001,-1"	""	""	""	"901,1000"	"801,900"	"701,800"	""	
"21"	"2"	"1,10"	"0"	"0"	"0"	""	""	""	""	
"22"	"2"	"11,50"	"3"	"5"	"7"	""	""	""	""	
"23"	"2"	"51,100"	"10"	"20"	"30"	""	""	""	""	
"24"	"2"	"101,500"	"20"	"40"	"60"	""	""	""	""	
"25"	"2"	"501,1000"	"200"	"300"	"400"	""	""	""	""	
"26"	"2"	"1001,-1"	""	""	""	"901,1000"	"801,900"	"701,800"	""	
"31"	"3"	"1,10"	"0"	"0"	"0"	""	""	""	""	
"32"	"3"	"11,50"	"4"	"6"	"8"	""	""	""	""	
"33"	"3"	"51,100"	"15"	"25"	"35"	""	""	""	""	
"34"	"3"	"101,500"	"25"	"45"	"65"	""	""	""	""	
"35"	"3"	"501,1000"	"250"	"350"	"450"	""	""	""	""	
"36"	"3"	"1001,-1"	""	""	""	"901,1000"	"801,900"	"701,800"	""	
